ParticleType,Energy
pi-,191.965
pi-,191.965
pi-,191.965
2mu-,161.6
2mu-,161.6
2mu-,161.6
pi+,725.096
pi+,725.096
2pi+,723.651
2pi+,723.651
pi-,502.054
pi-,502.054
2pi-,501.176
2pi-,501.176
pi+,59.5197
pi+,59.5197
pi+,59.5197
2pi+,57.4057
2pi+,57.4057
2pi+,57.4057
pi-,728.693
pi-,728.693
2pi-,727.613
2pi-,727.613
pi+,902.731
pi+,902.731
2pi+,901.618
2pi+,901.618
pi-,192.799
pi-,192.799
pi-,192.799
2mu-,159.858
2mu-,159.858
2mu-,159.858
pi-,498.394
pi-,498.394
2pi-,497.436
2pi-,497.436
pi-,429.785
pi-,429.785
2pi-,428.9
2pi-,428.9
pi-,609.75
pi-,609.75
2pi-,608.619
2pi-,608.619
pi-,195.587
pi-,195.587
pi-,195.587
2pi-,194.366
2pi-,194.366
2pi-,194.366
pi-,37.1128
pi-,37.1128
pi-,37.1128
2mu-,37.9597
2mu-,37.9597
2mu-,37.9597
pi+,159.35
pi+,159.35
pi+,159.35
2pi+,156.232
2pi+,156.232
2pi+,156.232
pi-,409.276
pi-,409.276
2pi-,407.734
2pi-,407.734
mu-,83.229
mu-,83.229
mu-,83.229
2mu-,80.8739
2mu-,80.8739
2mu-,80.8739
pi+,549.115
pi+,549.115
2pi+,548.031
2pi+,548.031
pi-,1527.72
pi-,1527.72
2pi-,1526.73
2pi-,1526.73
pi-,211.271
pi-,211.271
pi-,211.271
2mu-,141.699
2mu-,141.699
2mu-,141.699
pi-,56.7405
pi-,56.7405
pi-,56.7405
2pi-,54.8345
2pi-,54.8345
2pi-,54.8345
pi-,344.022
pi-,344.022
2pi-,343.129
2pi-,343.129
pi+,559.735
pi+,559.735
2pi+,558.837
2pi+,558.837
mu-,3.17281
mu-,3.17281
mu-,3.17281
pi-,528.503
pi-,528.503
2pi-,527.569
2pi-,527.569
pi-,675.744
pi-,675.744
2pi-,473.547
2pi-,473.547
pi+,633.273
pi+,633.273
2mu+,539.466
2mu+,539.466
pi+,419.807
pi+,419.807
2mu+,340.701
2mu+,340.701
pi-,310.792
pi-,310.792
2mu-,278.96
2mu-,278.96
2mu-,278.96
pi+,1233.94
pi+,1233.94
2pi+,1232.82
2pi+,1232.82
pi-,321.491
pi-,321.491
pi-,321.491
2pi-,320.35
2pi-,320.35
2pi-,320.35
pi-,650.723
pi-,650.723
2pi-,649.49
2pi-,649.49
pi+,456.07
pi+,456.07
2pi+,454.926
2pi+,454.926
pi+,610.475
pi+,610.475
2pi+,608.98
